gene
CERS6
PKD1
TSSK1B
FAM95A
FAM95B1
MIR181A1
PLG
CTGF
PTH
NCAM2
FSTL5
KIAA1671
NCR3
NCR3
NCR3
MRPL10
TPRX1
TMEM169
POLR2L
LRP2
C6orf136
ARHGAP22
SETMAR
C1orf87
DCDC2
UGT2A3
XBP1
MAN1A2
SLC4A4
ERICH6
CELSR2
USH2A
FAM95B1
FAM95B1
MPPED2
ADGRL3
FANCC
RFK
MORC4
TMEM74B
OTOGL
FAM90A2P
ZCCHC14
PRDX5
SRFBP1
CSTF2T
SLC4A10
FAM90A10P
FAM90A7P
FAM90A25P
FAM90A1
RAB6A
NKAIN2
MAGOHB
ANKFN1
CDK20
SLC26A3
PRR12
THOC1
KLK11
SLC25A33
ATP5F1
PMCHL2
PMCHL1
NXNL2
BDNF
TBP
BARX1
IGFALS
CYP7B1
ZNF556
PLCXD2
ALG2
SPINT3
SCAF4
SLC38A1
GRM5
PDPK1
PDPK1
MKL2
DPCD
MAFIP
TEKT4P2
CHSY3
ENPP2
USP43
IFNA21
KRTAP17-1
LOC400590
RAG1
PALLD
OR5R1
CFAP221
OR52A4P
ENAH
SCHIP1
TRIM48
TRIM49D
SF3B4
RPL39L
ANGPTL4
SYVN1
SRSF10
C5orf34
ARHGAP35
C6orf136
C6orf136
UNC13C
CRB1
FNDC4
KCNH5
NPY4R
TTC39A
PDCD11
GRM3
DCN
ABHD15
PAK3
RASSF8
GLI3
MAFIP
LIPF
HR
ZBTB44
SEMA3E
IGIP
LRAT
EMC1
ERVFC1-1
TMEM251
SMCO2
WIF1
GALC
ZCCHC24
SDAD1
PRPF8///PRPF8
PRAMEF
MAFIP
PTPRM
FAM9A
SLC25A33
ERP27
ERAP1
ARL6
GCHFR
MRGPRX3
ADGRA3
IKZF2
ALOX15
ZMAT1
ANKRD20A8P
ENG
DBNDD1
SGK223
ZNF264
PMCHL2///PMCHL1
CHRM2
CCNI
COL21A1
ERVK13-1
LOC100133091
OR5K4
NDN
CAPZA3
FBLIM1
SEC63
UFM1
OR6B2
TCEB2
KERA
ACSS3
TRIM45
FLJ42627
ZNF22
LOC102724229
WFDC10A
UHMK1
ADAM22
EPHX4
GDAP1L1
TRPC1
PDE1A
NDRG2
WBP11
PCDH18
HLA-DPA1
