gene
MACC1
ALDH7A1
C15orf57
C8orf37
LOC388882
APOOL
GSTM1
PIH1D2
CD80
MYO10
GSTM5
XRCC4
ETFBKMT
NAMPT
WDR63
FARSB
PLA1A
CATSPER2P1
SPATA12
PLAU
PUS7
GPR84
ADAMDEC1
CAPG
FAM160A1
NUBPL
GPR63
PIR
PIR-FIGF
FSD1L
LIN28B
MIR21
MTX2
CYB561A3
H1F0
CFB
TMEM218
CLEC4E
ADAMTS3
LIG4
ACOT2
MIOS
SLC16A6
NOC3L
MAGI3
SSR4P1
SLC25A19
ZRANB3
ENC1
PTGS2
SLC43A3///PRG2
SLC22A24
SHISA6
TPH2
THNSL1
WWC2
ATOX1
ZC3H12C
DAOA-AS1
IFT122
C3
C15orf48
KIAA0895L
SASS6
HAUS8
SPACA5B///SPACA5
CYP4F12
ERVK11-1///GSTM2
OR8G2
HIST1H1T
BTG3
CDH7
FMO4
MRPL46
SAMD12
MOP-1
IKBKE
TTR
TAF9B
TAF9B
NFKBIE
YIPF6
FCGR1CP///FCGR1B///FCGR1A
POP1
ATP6V1H
ZIC4
MRPL1
HK2
KYNU
DNAJC10
DUSP10
OCLN///LOC647859
LRP12
FPR1
SOD2
ZNF749
OR5AS1
FLVCR2
KCNN4
BLOC1S2
PLAUR
FSHR
TMEM8A
FCGR1CP///FCGR1B///FCGR1A
PPIF
SLC5A8
FCGR1CP///FCGR1B///FCGR1A
FCAR
ETV5
TTC26
EEF1E1-BLOC1S5///EEF1E1
PLD1
DPCR1
OR51B5
NLN
MAFG
SETMAR
PUS3
RAB5A
LILRA5
ST3GAL6
CREB5
SNORD115-40
C17orf75
CYP4A11
SLAMF8
SRBD1
GLB1L
SNX30
BIVM-ERCC5///BIVM
SIRPB1
LCT
OR5H2
C8orf4
ZNF326
PLOD2
HPSE
NFIL3
CCL8
ZNF267
PAPSS2
BZW2
THOC1
ANKRD20A21P///ANKRD20A8P///ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A5P///ANKRD20A1
KIF23
DMXL2
CTSH
ALDH3A2
CYP2S1
TTF2
OAT
NR1H4
SIRPD
YWHAH
ALDH2
TRIM39-RPP21///TRIM39
TRIM39-RPP21///TRIM39
TRIM39-RPP21///TRIM39
KCNJ2
DFNA5
PLIN2
SLC9B1
FMN1
WNT5A
MYO5B
LIF
LONRF3
LINC00167
ANKRD34B
ERC2-IT1
TRIT1
EIF3J
DNPH1
MBTPS2///MBTPS2
LAMTOR2
LAMP1
THNSL2
PLEKHH1
SLC3A2
C1orf162
NDUFV3
FCER1G
IL10RB///IL10RB
LRRK2
CYB5RL
EDA2R
DPP3
DACH2
C2CD3
GSTM4
HFE
PTP4A1
MRPS33
ACP2
AHSP
HERC5
DPH6
NFKB1
RHEB
HSD17B2
ZNF804A
ITIH4
TIPIN
C1orf27
ASB9
PROS1
PPFIBP2
OR52R1
HSPA14
DNAH17
TRIM2
COQ7
ASB5
MINPP1
TOE1
RMI1
CEBPZ
CCL2///CCL2
TRUB1
DRAM1
INTS4P2///INTS4P1///INTS4
TRAPPC13
C1QTNF3-AMACR///AMACR
DDO
XAGE5
SLC1A3
STARD3NL
PDXK
ATG101
CDK7
CDK7
SIPA1L2
BLMH
TM6SF1
OR14A16
PSAT1
SPINT1
SLC39A8
MYH8
ANKRD37
PSD3
GFM1
SLCO1A2
IMPG2
PLSCR1
RGL3
RPS10P7
SLC39A11
PTGR1
ABCA1
SLC1A1
PIKFYVE///SMR3B
SCFD1
SEMA3C
RABL3
STXBP1
DNM1L
HSD17B14
YARS
ANXA4
NCEH1
IRAK3
CCT6B
CDO1
CDK14
VDAC2
BRIX1
AKR1E2
SNORD116-12
CXCL2
SLC7A7
SH3PXD2A
AP4S1
HERC6
OR5H6
TRAF3
FAM234B
MICU1
SLC12A1
SERPINA1
SERPINE1
SPARC
PRDX3
CRYAB
GNS
GARS
NFKBIA
OR2C3
GTF2H3
TPT1P8
SYT1
TRIM16
RETSAT
EIF4A3
BRWD1-IT2
FCGR2A
GJB2
DLAT
