gene
RBMX
ATP6V0A2
PHF10
EIF3M
ANAPC16
PNP
PRELID3B
HMGB1
MICU2
SUN1
SNAPC3
CBX3
MRPL3
ID2
MSI2
ORMDL3
ERLEC1
MRPL18
DFFA
MGAT4A
PCNP
SMIM7
LIPA
CNIH1
PDE7A
TRIM13
ZMYND11
PAG1
TRPM7
RTL10
PPP4R2
CASP3
PRRC1
ANGEL2
ETNK1
FASTKD2
HNRNPA1
NSG1
MYL9
PHAX
RNF11
PNMA1
EXOSC6
SNAP47
NUS1
TMX1
UFL1
MRPL23
SH2D1B
LMAN1
RASGRP1
DNAJB14
MRPL9
SSR4
USP1
DNAJC16
SRP9
SLC30A5
MPHOSPH10
CEPT1
MED10
TMEM9B
NIFK
NDUFS7
RPL7
RPL32P3
EIF4A2
DYRK2
TP53RK
RBX1
NAE1
CRBN
ABCE1
IMP3
COX7C
TRIM52
RPAP2
MAN1A2
PRKRA
WWP1
ISCA1
CEP68
CLU
SRSF10
P2RY10
ANP32B
MARCHF2
GFI1B
EIF3J
SELENOK
FGFR1OP2
ZNF84
ATRX
CCDC82
MRPL42
VPS51
TRIM4
RRN3
CD40LG
ZBTB1
CHORDC1
TBCA
CREBL2
COLQ
SLC41A3
CYSLTR2
KLHDC2
ACP1
ENSG00000170846
IMPDH2
RBM7
SNU13
SREK1
EIF5B
NCK1
HACD3
GIMAP6
FBXO9
TC2N
TNFAIP8
GZMM
LAX1
SEC62
CD3G
MEX3C
WDR77
BSG
CCNG1
ARL1
CEP57
UQCRB
TIGIT
CWF19L2
SRSF8
NDUFB9
KLF12
GPATCH11
SMARCAD1
USP12
CXCR3
SINHCAF
TENT5C
TPT1
FAM98B
DARS1
MRPS35
ZCRB1
PAQR8
SRM
ARID4B
PPA1
KDSR
SUB1
SMDT1
FBL
NOP58
GPX1
METAP2
TPM1
WDR43
POLR2J3
PURA
ITM2A
EIF3E
MXI1
ERH
PPIG
PSMF1
SLC30A9
GFOD1
RPIA
CYCS
C5orf24
RPL18
NCR3
SFXN1
PIGK
TOMM7
CNST
DDHD2
SYPL1
TREML1
DNAJC15
SNHG29
CNR2
NUCB2
RPL22
SSBP1
PEBP1
UBE2Q2
SLC25A46
RPL39
MINDY2
BEX4
SRRD
SBDS
CEBPZ
C1QBP
ACP5
PHTF2
RNF138
KLRB1
ST13
LRRC58
CDC34
TNS1
RAB4A
ASF1A
EIF4E
GIMAP7
ENSG00000259834
NAP1L1
BCL2L1
PIGC
RPS16
MMD
ATAD1
MDFIC
TMEM245
RPL14
NOTCH2NLC
CMPK1
ZBTB25
STMP1
NAA16
NSA2
SLFN12L
RPLP1
NPM1
ITGA2B
IGF2BP2
MZT2A
EEF2K
NMT2
CD9
FBXO7
ODC1
BNIP3L
TXK
PRKACB
RGS10
PLEKHA1
TAL1
HAGH
RPL13
OXNAD1
FAXDC2
SLC6A8
DCK
GSTM4
BLVRB
GSPT1
TMEM106B
CLC
GP9
SESN1
SH2D1A
EIF1AX
BPGM
ANKRD12
THEMIS
IL5RA
DPM2
TESC
RGCC
RPS2P5
RPLP2
RPL38
CHPT1
GMPR
SMOX
IL7R
CUTALP
OR2W3
TRIM58
HBB
FECH
DCAF12
TBC1D4
GPR183
TSPAN5
PTGDR2
IGLC3
RBM38
ENSG00000249790
JCHAIN
PRDX2
STRADB
SNCA
FAM210B
TMOD1
C9orf78
CA1
IGKV4-1
PPBP
HBD
SLC4A1
PDZK1IP1
GLRX5
SELENBP1
EPB42
ALAS2
GATA2
MALAT1
FCER1A
