gene
JAML
ITCH
MACF1
WASHC5
TPM3
USP25
MAVS
UXS1
MNAT1
EIF5A
PRPF8
MX1
HEATR5B
TASOR2
ZNF75D
DIP2B
DDX60L
GOLGB1
DEF8
SPIDR
TBC1D4
GEMIN5
COX18
SMCHD1
DDX60L
RAD1
STT3A
MICA
GK
SLC25A17
NBPF9
BTBD9
LARP4
STAG2
NBPF9
IWS1
EIF4G3
DENND4A
KLHL24
LPGAT1
DENND4C
LPIN1
HLCS
SETD4
PRKCQ
RGPD5
SUCO
SCAF8
GALT
RPE
RIC8A
CAST
DHX40
TASOR2
VIRMA
HPS5
CDC14A
DDX21
ZNF264
MTMR1
THEMIS2
USP10
KMT5B
FLT1
KMT5B
MTRR
DNM1L
WDR59
SUGT1P4-STRA6LP-CCDC180
SAP30BP
KDM5C
DENND4A
TOMM34
PPP1R3F
NFKBID
OAS1
MYH9
ZNF655
LINC00869
CORO1C
ZEB1
CNOT8
NCOR1
MTMR3
ZNF567
FZD3
SEPHS1
ENOX2
NCOR1
MMS22L
MAPK14
RAB3IP
OLR1
MTMR1
KIAA0319L
KLHL28
OXNAD1
HNRNPD
ZNF397
MIS12
OSBPL2
METTL8
TSPAN4
RIOX2
ZNF268
NME1-NME2
ZNF304
ZNF33A
ADPRH
JAML
WDFY2
ZNF655
CHD3
RIC8B
CLTC
FAM172A
AGO4
PHF2
XPC
MAST4
TLR1
LOC101929947
FBXO38
PTBP1
AKNA
CDK2
ZNF692
SEPTIN6
CTDSPL2
ZEB1
ATG2A
ECHDC1
E4F1
SPOP
ZFX
NOTCH2
ZNF567
NOTCH2
ZC3H7A
FAM3C
DROSHA
TAF2
MACF1
SMG7
CASP4
GPR68
LYN
LCOR
NIBAN1
EWSR1
RNF213
DHX29
NCOR1
VSIG1
FBXO38
PATJ
AGO4
EWSR1
GTDC1
SDR42E1
KIF3A
NCOR1
TCEANC
RIMKLB
TENT2
KMT2D
NSL1
TAB2
IMPDH2
LOC101928658
TLK2
TOP1MT
CXorf40B
MAP1A
PSMA5
MORF4L1
TMEM183A
CCDC82
TMEM183A
EML3
POLA1
SLC52A2
TCF12
SLC6A6
PNPLA8
SMARCC1
GTF2I
ATP11A
EML3
EFR3A
CD44
NUCB2
TTC1
CYSLTR1
LOC374443
LY9
ARPP19
PARP4
FHL1
KMO
SLC37A3
UBE3A
TMPO
ZMYM4
CAST
MAML2
AKAP10
MSANTD4
GCH1
KLHL20
CCDC91
GOLGB1
INTS1
NELL2
SNX19
ATP2C1
ERO1A
WARS
FBL
OSBPL9
HNRNPA1
SLC6A6
LDLR
SCML1
NELL2
TCF12
IFRD1
ARHGEF1
STAG2
PEX1
ZNF507
MAP3K13
KIAA1109
PHC3
WARS
XPNPEP1
IRAK4
ZNF473
SMC2
DHX38
AEN
NACC2
ZNF518A
SOD2
NBN
PPIH
CCDC93
ZW10
EEF1D
PIK3C2A
ATP2A2
IVNS1ABP
ATP11B
IL12RB1
MAPKAP1
APPBP2
ANXA7
